country,year,happinessrank,happinessscore,gdp,family,lifeexpectancy,freedom,trust,generosity
Trinidad & Tobago,2018,38,6.192,1.22300,1.49200,0.56400,0.57500,0.01900,0.17100
Slovakia,2018,39,6.173,1.21000,1.53700,0.77600,0.35400,0.01400,0.11800
El Salvador,2018,40,6.167,0.80600,1.23100,0.63900,0.46100,0.08200,0.06500
Nicaragua,2018,41,6.141,0.66800,1.31900,0.70000,0.52700,0.12800,0.20800
Poland,2018,42,6.123,1.17600,1.44800,0.78100,0.54600,0.06400,0.10800
Bahrain,2018,43,6.105,1.33800,1.36600,0.69800,0.59400,0.12300,0.24300
Uzbekistan,2018,44,6.096,0.71900,1.58400,0.60500,0.72400,0.25900,0.32800
Kuwait,2018,45,6.083,1.47400,1.30100,0.67500,0.55400,0.10600,0.16700
Thailand,2018,46,6.072,1.01600,1.41700,0.70700,0.63700,0.02900,0.36400
Italy,2018,47,6.000,1.26400,1.50100,0.94600,0.28100,0.02800,0.13700
Ecuador,2018,48,5.973,0.88900,1.33000,0.73600,0.55600,0.12000,0.11400
Belize,2018,49,5.956,0.80700,1.10100,0.47400,0.59300,0.08900,0.18300
Lithuania,2018,50,5.952,1.19700,1.52700,0.71600,0.35000,0.00600,0.02600
Slovenia,2018,51,5.948,1.21900,1.50600,0.85600,0.63300,0.05100,0.16000
Romania,2018,52,5.945,1.11600,1.21900,0.72600,0.52800,0.00100,0.08800
Latvia,2018,53,5.933,1.14800,1.45400,0.67100,0.36300,0.06600,0.09200
Japan,2018,54,5.915,1.29400,1.46200,0.98800,0.55300,0.15000,0.07900
Mauritius,2018,55,5.891,1.09000,1.38700,0.68400,0.58400,0.05000,0.24500
Jamaica,2018,56,5.890,0.81900,1.49300,0.69300,0.57500,0.03100,0.09600
South Korea,2018,57,5.875,1.26600,1.20400,0.95500,0.24400,0.05100,0.17500
Northern Cyprus,2018,58,5.835,1.22900,1.21100,0.90900,0.49500,0.15400,0.17900
Russia,2018,59,5.810,1.15100,1.47900,0.59900,0.39900,0.02500,0.06500
Kazakhstan,2018,60,5.790,1.14300,1.51600,0.63100,0.45400,0.12100,0.14800
Cyprus,2018,61,5.762,1.22900,1.19100,0.90900,0.42300,0.03500,0.20200
Bolivia,2018,62,5.752,0.75100,1.22300,0.50800,0.60600,0.05400,0.14100
Estonia,2018,63,5.739,1.20000,1.53200,0.73700,0.55300,0.17400,0.08600
Paraguay,2018,64,5.681,0.83500,1.52200,0.61500,0.54100,0.07400,0.16200
Peru,2018,65,5.663,0.93400,1.24900,0.67400,0.53000,0.03400,0.09200
Kosovo,2018,66,5.662,0.85500,1.23000,0.57800,0.44800,0.02300,0.27400
Moldova,2018,67,5.640,0.65700,1.30100,0.62000,0.23200,0.00000,0.17100
Turkmenistan,2018,68,5.636,1.01600,1.53300,0.51700,0.41700,0.03700,0.19900
Hungary,2018,69,5.620,1.17100,1.40100,0.73200,0.25900,0.02200,0.06100
Libya,2018,70,5.566,0.98500,1.35000,0.55300,0.49600,0.14800,0.11600
Philippines,2018,71,5.524,0.77500,1.31200,0.51300,0.64300,0.10500,0.12000
Honduras,2018,72,5.504,0.62000,1.20500,0.62200,0.45900,0.07400,0.19700
Belarus,2018,73,5.483,1.03900,1.49800,0.70000,0.30700,0.15400,0.10100
Turkey,2018,74,5.483,1.14800,1.38000,0.68600,0.32400,0.10900,0.10600
Pakistan,2018,75,5.472,0.65200,0.81000,0.42400,0.33400,0.11300,0.21600
Hong Kong,2018,76,5.430,1.40500,1.29000,1.03000,0.52400,0.29100,0.24600
Portugal,2018,77,5.410,1.18800,1.42900,0.88400,0.56200,0.01700,0.05500
Serbia,2018,78,5.398,0.97500,1.36900,0.68500,0.28800,0.04300,0.13400
Greece,2018,79,5.358,1.15400,1.20200,0.87900,0.13100,0.04400,0.00000
Lebanon,2018,80,5.358,0.96500,1.17900,0.78500,0.50300,0.13600,0.21400
